material_id,subject,subcategory,grade_levels,material_type,school_type,content_type,is_bundle,price,author_category,bestseller_rating,total_pages,engagement_score,created_days_ago,author_id,title,grade_levels_str
mat_000925,Englisch,Grammatik,"['9. Klasse', '10. Klasse', '11. Klasse', '12. Klasse']",Interaktives Material,Berufsschule,standalone,0,5.89,Eggs,39.13447516553635,6,4.391625402883989,1033,author_0470,Grammatik - Interaktives Material,"9. Klasse, 10. Klasse, 11. Klasse, 12. Klasse"
mat_000926,Kunst,Theorie,"['8. Klasse', '9. Klasse']",Interaktives Material,Sek I Mittlere Schulform,hybrid,0,2.12,Eggs,5.447212671076604,11,4.343180778170295,121,author_0499,Theorie - Interaktives Material,"8. Klasse, 9. Klasse"
mat_000927,Englisch,Schreiben,"['7. Klasse', '8. Klasse', '9. Klasse']",Stationenlernen,Förderunterricht,standalone,0,5.8,Eggs,56.92509845440969,10,1.1044644716623535,292,author_0817,Schreiben - Stationenlernen,"7. Klasse, 8. Klasse, 9. Klasse"
mat_000928,Deutsch,Lesen,"['6. Klasse', '7. Klasse', '8. Klasse']",Arbeitsblätter,Sek I Gymnasium,hybrid,0,2.08,Bear,32.60284916213424,9,2.496734227276281,629,author_0329,Lesen - Arbeitsblätter,"6. Klasse, 7. Klasse, 8. Klasse"
mat_000929,Englisch,Grammatik,['8. Klasse'],Mal- und Bastelvorlagen,Sek I Mittlere Schulform,standalone,0,8.83,Cub,19.653153269481844,11,4.6448357562554685,1012,author_0449,Grammatik - Mal- und Bastelvorlagen,8. Klasse
mat_000930,Kunst,Basteln,"['10. Klasse', '11. Klasse', '12. Klasse', '13. Klasse']",Interaktives Material,Sek I Gymnasium,interactive,0,5.95,Eggs,29.605512810230472,11,5.547507213190017,915,author_0549,Basteln - Interaktives Material,"10. Klasse, 11. Klasse, 12. Klasse, 13. Klasse"
mat_000931,Deutsch,Sprechen & Zuhören,['13. Klasse'],Quiz,Sek I Gymnasium,standalone,0,10.3,Eggs,22.971644625940463,6,2.8530621766681556,612,author_0071,Sprechen & Zuhören - Quiz,13. Klasse
mat_000932,Mathematik,Grundrechenarten,['12. Klasse'],Bildkarten,Berufsschule,hybrid,0,12.55,Eggs,39.66696869751872,11,3.3704430108234527,848,author_0032,Grundrechenarten - Bildkarten,12. Klasse
mat_000933,Mathematik,Zahlen & Operationen,"['4. Klasse', '5. Klasse']",Unterrichtsreihen,Sek II,hybrid,0,24.37,Eggs,20.198852791504812,13,2.1621728398280933,1059,author_0861,Zahlen & Operationen - Unterrichtsreihen,"4. Klasse, 5. Klasse"
mat_000934,Fachunterricht,Geschichte,"['8. Klasse', '9. Klasse']",Unterrichtsreihen,Grundschule,hybrid,0,2.57,Innovators,222.35958217736186,15,1.4462881056625474,1015,author_0374,Geschichte - Unterrichtsreihen,"8. Klasse, 9. Klasse"
mat_000935,Kunst,Basteln,"['4. Klasse', '5. Klasse']",Fördermaterial/Inklusion,Grundschule,hybrid,0,6.34,Bear,62.08840797996713,5,1.8378324962378672,830,author_0566,Basteln - Fördermaterial/Inklusion,"4. Klasse, 5. Klasse"
mat_000936,Kunst,Theorie,['10. Klasse'],Videos,Grundschule,standalone,0,0.72,Eggs,24.34599937544672,11,4.3934455757473625,525,author_0101,Theorie - Videos,10. Klasse
mat_000937,Kunst,Basteln,['9. Klasse'],Unterrichtsreihen,Berufsschule,standalone,0,0.96,Dragon,130.13983491034378,7,2.8845400129760637,839,author_0363,Basteln - Unterrichtsreihen,9. Klasse
mat_000938,Mathematik,Zahlen & Operationen,['10. Klasse'],Merkblätter,Sek II,interactive,0,2.34,Cub,11.389170670815687,12,1.99354147805057,294,author_0880,Zahlen & Operationen - Merkblätter,10. Klasse
mat_000939,Deutsch,Anfangsunterricht,"['12. Klasse', '13. Klasse']",Mal- und Bastelvorlagen,Berufsschule,interactive,0,3.34,Innovators,61.27007314713476,8,2.821630812443368,373,author_0648,Anfangsunterricht - Mal- und Bastelvorlagen,"12. Klasse, 13. Klasse"
mat_000940,Mathematik,Zahlen & Operationen,"['9. Klasse', '10. Klasse', '11. Klasse', '12. Klasse']",Stationenlernen,Sek I Mittlere Schulform,hybrid,0,6.54,Cub,3.7639596140848925,10,2.8043266203017656,835,author_0503,Zahlen & Operationen - Stationenlernen,"9. Klasse, 10. Klasse, 11. Klasse, 12. Klasse"
mat_000941,Kunst,Theorie,"['4. Klasse', '5. Klasse']",Präsentationen/Tafelbilder,Förderunterricht,hybrid,0,2.58,Eggs,54.47999951080283,7,3.6893237860436163,757,author_0437,Theorie - Präsentationen/Tafelbilder,"4. Klasse, 5. Klasse"
mat_000942,Kunst,Werken,"['6. Klasse', '7. Klasse', '8. Klasse']",Quiz,Förderunterricht,interactive,0,2.04,Eggs,33.30296081903717,8,7.118972686474605,655,author_0203,Werken - Quiz,"6. Klasse, 7. Klasse, 8. Klasse"
mat_000943,Deutsch,Sprechen & Zuhören,"['11. Klasse', '12. Klasse', '13. Klasse']",Stationenlernen,Grundschule,interactive,0,4.62,Cub,62.91694723287041,5,0.8834112877143206,177,author_0427,Sprechen & Zuhören - Stationenlernen,"11. Klasse, 12. Klasse, 13. Klasse"
mat_000944,Kunst,Basteln,"['8. Klasse', '9. Klasse']",Arbeitsblätter,Kita / Vorschule,hybrid,0,1.48,Cub,43.84669779237359,8,4.5485878936059825,958,author_0476,Basteln - Arbeitsblätter,"8. Klasse, 9. Klasse"
mat_000945,Kunst,Theorie,"['4. Klasse', '5. Klasse', '6. Klasse']",Videos,Sek I Gymnasium,standalone,0,12.05,Eggs,118.94700251091625,13,3.5127772878727845,795,author_0658,Theorie - Videos,"4. Klasse, 5. Klasse, 6. Klasse"
mat_000946,Fachunterricht,Geschichte,['5. Klasse'],Unterrichtsreihen,Sek II,standalone,0,4.15,Dragon,103.65300555980843,8,2.1666464141056325,740,author_0407,Geschichte - Unterrichtsreihen,5. Klasse
mat_000947,Deutsch,Sprechen & Zuhören,"['5. Klasse', '6. Klasse', '7. Klasse']",Klassenarbeiten,Kita / Vorschule,standalone,0,6.54,Cub,15.444473614217982,9,1.3745085954939227,371,author_0337,Sprechen & Zuhören - Klassenarbeiten,"5. Klasse, 6. Klasse, 7. Klasse"
mat_000948,Deutsch,Anfangsunterricht,"['2. Klasse', '3. Klasse', '4. Klasse', '5. Klasse']",Arbeitsblätter,Sek I Gymnasium,hybrid,1,33.44604252295836,Bear,36.179069968967,66,0.4861839894209185,125,author_0811,Anfangsunterricht - Sparpaket,"2. Klasse, 3. Klasse, 4. Klasse, 5. Klasse"
mat_000949,Kunst,Basteln,"['8. Klasse', '9. Klasse', '10. Klasse']",Stationenlernen,Sek I Mittlere Schulform,standalone,0,4.37,Innovators,0.11277621983490985,4,1.9193851429254087,728,author_0218,Basteln - Stationenlernen,"8. Klasse, 9. Klasse, 10. Klasse"
mat_000950,Mathematik,Stochastik,"['1. Klasse', '2. Klasse', '3. Klasse']",Videos,Förderunterricht,interactive,0,1.96,Dragon,16.123630629913407,11,2.0772196030053154,622,author_0901,Stochastik - Videos,"1. Klasse, 2. Klasse, 3. Klasse"
mat_000951,Kunst,Malen & Zeichnen,"['7. Klasse', '8. Klasse']",Experimente,Sek I Mittlere Schulform,hybrid,1,36.77336993336735,Dragon,11.493800913466922,60,5.325479024258538,189,author_0663,Malen & Zeichnen - Sparpaket,"7. Klasse, 8. Klasse"
mat_000952,Deutsch,Anfangsunterricht,"['5. Klasse', '6. Klasse', '7. Klasse', '8. Klasse']",Arbeitsblätter,Förderunterricht,hybrid,0,2.05,Eggs,78.59556212631877,7,1.2216269763274747,522,author_0964,Anfangsunterricht - Arbeitsblätter,"5. Klasse, 6. Klasse, 7. Klasse, 8. Klasse"
mat_000953,Kunst,Epochen,"['8. Klasse', '9. Klasse', '10. Klasse']",Bildkarten,Förderunterricht,interactive,0,2.66,Dragon,40.785168760880964,10,2.9856189883510282,430,author_0569,Epochen - Bildkarten,"8. Klasse, 9. Klasse, 10. Klasse"
mat_000954,Englisch,Wortschatz,"['6. Klasse', '7. Klasse', '8. Klasse', '9. Klasse']",Klassenarbeiten,Kita / Vorschule,interactive,0,5.47,Bear,98.71365362747379,6,2.4983861844906388,785,author_0579,Wortschatz - Klassenarbeiten,"6. Klasse, 7. Klasse, 8. Klasse, 9. Klasse"
mat_000955,Mathematik,Zahlen & Operationen,['3. Klasse'],Experimente,Sek II,standalone,1,27.25236724845587,Bear,4.953687975542021,36,10.306376702035998,553,author_0543,Zahlen & Operationen - Sparpaket,3. Klasse
mat_000956,Fachunterricht,Religion,"['1. Klasse', '2. Klasse', '3. Klasse']",Präsentationen/Tafelbilder,Sek I Mittlere Schulform,hybrid,0,2.53,Eggs,40.85494414313639,11,6.619165276913526,453,author_0158,Religion - Präsentationen/Tafelbilder,"1. Klasse, 2. Klasse, 3. Klasse"
mat_000957,Mathematik,Zahlen & Operationen,"['2. Klasse', '3. Klasse', '4. Klasse', '5. Klasse']",Spiele,Sek II,hybrid,1,43.534223240555896,Bear,5.500271365622758,70,2.6370439404912718,373,author_0362,Zahlen & Operationen - Sparpaket,"2. Klasse, 3. Klasse, 4. Klasse, 5. Klasse"
mat_000958,Englisch,Wortschatz,"['2. Klasse', '3. Klasse', '4. Klasse']",Merkblätter,Sek II,standalone,1,19.891844838996114,Dragon,2.307012440272984,39,3.2817000361143447,1010,author_0044,Wortschatz - Sparpaket,"2. Klasse, 3. Klasse, 4. Klasse"
mat_000959,Kunst,Basteln,"['10. Klasse', '11. Klasse', '12. Klasse']",Präsentationen/Tafelbilder,Sek II,interactive,0,6.52,Bear,5.974815647050854,9,2.369603488676172,42,author_0821,Basteln - Präsentationen/Tafelbilder,"10. Klasse, 11. Klasse, 12. Klasse"
mat_000960,Mathematik,Funktionen,"['8. Klasse', '9. Klasse', '10. Klasse', '11. Klasse']",Präsentationen/Tafelbilder,Sek II,standalone,1,27.9993721427595,Eggs,48.98040625657239,90,2.08663818166436,224,author_0668,Funktionen - Sparpaket,"8. Klasse, 9. Klasse, 10. Klasse, 11. Klasse"
mat_000961,Fachunterricht,Biologie,"['6. Klasse', '7. Klasse', '8. Klasse']",Spiele,Grundschule,interactive,0,0.91,Bear,14.88428596012714,8,5.978613439041548,664,author_0899,Biologie - Spiele,"6. Klasse, 7. Klasse, 8. Klasse"
mat_000962,Englisch,Grammatik,"['7. Klasse', '8. Klasse']",Arbeitsblätter,Förderunterricht,standalone,1,13.606148944168455,Innovators,47.03176911225173,54,3.751658478839745,274,author_0261,Grammatik - Sparpaket,"7. Klasse, 8. Klasse"
mat_000963,Englisch,Schreiben,"['8. Klasse', '9. Klasse']",Experimente,Berufsschule,standalone,0,1.6,Dragon,39.394956676985,14,6.345886189118206,461,author_0399,Schreiben - Experimente,"8. Klasse, 9. Klasse"
mat_000964,Kunst,Basteln,['2. Klasse'],Bildkarten,Berufsschule,interactive,0,6.44,Bear,17.6292241329244,5,1.9975778378613285,856,author_0931,Basteln - Bildkarten,2. Klasse
mat_000965,Fachunterricht,Religion,['1. Klasse'],Bildkarten,Kita / Vorschule,hybrid,0,1.75,Eggs,55.320815606054396,10,4.6799254222212765,529,author_0388,Religion - Bildkarten,1. Klasse
mat_000966,Deutsch,Sprache untersuchen,"['7. Klasse', '8. Klasse', '9. Klasse', '10. Klasse']",Merkblätter,Sek I Mittlere Schulform,hybrid,0,1.12,Innovators,118.1381459325367,11,4.505628553529863,456,author_0269,Sprache untersuchen - Merkblätter,"7. Klasse, 8. Klasse, 9. Klasse, 10. Klasse"
mat_000967,Kunst,Malen & Zeichnen,['10. Klasse'],Spiele,Kita / Vorschule,interactive,0,5.88,Eggs,314.8764829662766,8,2.0756062114696645,281,author_0356,Malen & Zeichnen - Spiele,10. Klasse
mat_000968,Kunst,Epochen,['12. Klasse'],Fördermaterial/Inklusion,Sek II,interactive,0,10.7,Eggs,76.17363188328453,8,2.54094123151587,421,author_0381,Epochen - Fördermaterial/Inklusion,12. Klasse
mat_000969,Mathematik,Zahlen & Operationen,"['4. Klasse', '5. Klasse', '6. Klasse']",Klassenarbeiten,Sek I Gymnasium,hybrid,1,7.938399228322205,Bear,2.5484612137642153,24,6.9912217206407,271,author_0774,Zahlen & Operationen - Sparpaket,"4. Klasse, 5. Klasse, 6. Klasse"
mat_000970,Kunst,Theorie,"['3. Klasse', '4. Klasse']",Test,Sek I Gymnasium,standalone,0,15.9,Eggs,22.936248679331637,5,4.398921260460713,650,author_0209,Theorie - Test,"3. Klasse, 4. Klasse"
mat_000971,Mathematik,Grundrechenarten,['7. Klasse'],Bildkarten,Grundschule,hybrid,0,1.58,Bear,12.197351499467288,8,8.47850557321345,675,author_0203,Grundrechenarten - Bildkarten,7. Klasse
mat_000972,Kunst,Malen & Zeichnen,"['4. Klasse', '5. Klasse', '6. Klasse', '7. Klasse']",Test,Sek I Mittlere Schulform,hybrid,0,2.38,Eggs,90.395369032526,11,4.332112572545826,922,author_0036,Malen & Zeichnen - Test,"4. Klasse, 5. Klasse, 6. Klasse, 7. Klasse"
mat_000973,Englisch,Grammatik,['12. Klasse'],Bildkarten,Sek I Gymnasium,interactive,0,4.81,Bear,5.103617408863824,7,2.431280194713727,799,author_0339,Grammatik - Bildkarten,12. Klasse
mat_000974,Mathematik,Stochastik,"['4. Klasse', '5. Klasse', '6. Klasse']",Merkblätter,Kita / Vorschule,hybrid,0,2.36,Cub,33.52831736888683,10,9.690078948552461,584,author_0816,Stochastik - Merkblätter,"4. Klasse, 5. Klasse, 6. Klasse"
mat_000975,Mathematik,Stochastik,['4. Klasse'],Quiz,Grundschule,hybrid,0,11.35,Cub,130.50390873942425,10,9.447907657062112,309,author_0612,Stochastik - Quiz,4. Klasse
mat_000976,Mathematik,Grundrechenarten,"['7. Klasse', '8. Klasse']",Merkblätter,Kita / Vorschule,hybrid,0,4.47,Cub,2.0723648073933223,7,2.282307038241778,920,author_0788,Grundrechenarten - Merkblätter,"7. Klasse, 8. Klasse"
mat_000977,Fachunterricht,Religion,['2. Klasse'],Bildkarten,Förderunterricht,interactive,0,1.39,Dragon,29.506847308659516,10,4.002754290277618,267,author_0129,Religion - Bildkarten,2. Klasse
mat_000978,Kunst,Theorie,"['4. Klasse', '5. Klasse', '6. Klasse', '7. Klasse']",Test,Sek II,hybrid,0,3.89,Eggs,63.47988870987229,8,8.301858682022068,207,author_0998,Theorie - Test,"4. Klasse, 5. Klasse, 6. Klasse, 7. Klasse"
mat_000979,Fachunterricht,Biologie,['8. Klasse'],Fördermaterial/Inklusion,Berufsschule,standalone,0,6.99,Cub,58.605869272503,1,5.297098334186164,626,author_0518,Biologie - Fördermaterial/Inklusion,8. Klasse
mat_000980,Mathematik,Grundrechenarten,"['6. Klasse', '7. Klasse', '8. Klasse']",Arbeitsblätter,Berufsschule,hybrid,0,10.04,Eggs,8.845511437834396,11,8.661779682231987,365,author_0794,Grundrechenarten - Arbeitsblätter,"6. Klasse, 7. Klasse, 8. Klasse"
mat_000981,Englisch,Wortschatz,"['9. Klasse', '10. Klasse']",Präsentationen/Tafelbilder,Sek I Mittlere Schulform,interactive,0,41.34,Eggs,36.036236338925384,12,2.1608186389894866,543,author_0445,Wortschatz - Präsentationen/Tafelbilder,"9. Klasse, 10. Klasse"
mat_000982,Deutsch,Anfangsunterricht,"['11. Klasse', '12. Klasse', '13. Klasse']",Unterrichtsreihen,Sek II,interactive,0,7.06,Cub,35.01347148104938,6,3.3335404900412624,769,author_0279,Anfangsunterricht - Unterrichtsreihen,"11. Klasse, 12. Klasse, 13. Klasse"
mat_000983,Englisch,Grammatik,"['9. Klasse', '10. Klasse', '11. Klasse', '12. Klasse']",Test,Kita / Vorschule,hybrid,0,2.58,Eggs,39.496777377824834,13,9.884603003697283,531,author_0119,Grammatik - Test,"9. Klasse, 10. Klasse, 11. Klasse, 12. Klasse"
mat_000984,Deutsch,Anfangsunterricht,"['10. Klasse', '11. Klasse', '12. Klasse']",Spiele,Sek I Gymnasium,interactive,1,8.652379363785814,Innovators,44.086884876876795,50,0.7035323016730837,903,author_0445,Anfangsunterricht - Sparpaket,"10. Klasse, 11. Klasse, 12. Klasse"
mat_000985,Mathematik,Stochastik,"['7. Klasse', '8. Klasse', '9. Klasse']",Unterrichtsreihen,Kita / Vorschule,interactive,1,6.318058498310846,Cub,94.2841487656321,72,0.5504188135058603,737,author_0342,Stochastik - Sparpaket,"7. Klasse, 8. Klasse, 9. Klasse"
mat_000986,Deutsch,Lesen,"['3. Klasse', '4. Klasse', '5. Klasse']",Fördermaterial/Inklusion,Grundschule,hybrid,1,27.65565898313018,Eggs,23.524814891628164,36,1.9127312376370769,614,author_0689,Lesen - Sparpaket,"3. Klasse, 4. Klasse, 5. Klasse"
mat_000987,Mathematik,Zahlen & Operationen,['11. Klasse'],Klassenarbeiten,Sek I Gymnasium,standalone,1,2.6942580570946695,Dragon,4.569616008723674,45,3.3766579739574905,274,author_0155,Zahlen & Operationen - Sparpaket,11. Klasse
mat_000988,Mathematik,Grundrechenarten,['5. Klasse'],Videos,Grundschule,standalone,0,6.89,Cub,59.87889290451286,8,9.690717785245862,21,author_0387,Grundrechenarten - Videos,5. Klasse
mat_000989,Fachunterricht,Geschichte,['1. Klasse'],Fördermaterial/Inklusion,Sek I Mittlere Schulform,hybrid,0,3.3,Dragon,9.304131334066112,12,2.9964609894069274,906,author_0554,Geschichte - Fördermaterial/Inklusion,1. Klasse
mat_000990,Mathematik,Grundrechenarten,['7. Klasse'],Quiz,Sek I Gymnasium,standalone,0,5.67,Eggs,36.604717699698455,10,6.549996875237065,420,author_0953,Grundrechenarten - Quiz,7. Klasse
mat_000991,Mathematik,Grundrechenarten,['7. Klasse'],Unterrichtsreihen,Sek I Mittlere Schulform,hybrid,0,2.28,Cub,29.923400838429426,7,1.3635249181927331,1045,author_0143,Grundrechenarten - Unterrichtsreihen,7. Klasse
mat_000992,Kunst,Malen & Zeichnen,"['4. Klasse', '5. Klasse', '6. Klasse', '7. Klasse']",Arbeitsblätter,Sek II,hybrid,0,5.73,Cub,120.79560880362921,11,9.037825815163535,471,author_0464,Malen & Zeichnen - Arbeitsblätter,"4. Klasse, 5. Klasse, 6. Klasse, 7. Klasse"
mat_000993,Mathematik,Zahlen & Operationen,"['6. Klasse', '7. Klasse', '8. Klasse']",Fördermaterial/Inklusion,Sek I Mittlere Schulform,hybrid,0,22.77,Dragon,28.478185731327947,14,5.399692682547738,384,author_0885,Zahlen & Operationen - Fördermaterial/Inklusion,"6. Klasse, 7. Klasse, 8. Klasse"
mat_000994,Englisch,Schreiben,"['10. Klasse', '11. Klasse', '12. Klasse']",Experimente,Sek II,hybrid,0,4.46,Eggs,6.1260414374593966,11,7.626155202589459,410,author_0833,Schreiben - Experimente,"10. Klasse, 11. Klasse, 12. Klasse"
mat_000995,Mathematik,Zahlen & Operationen,"['4. Klasse', '5. Klasse', '6. Klasse']",Spiele,Sek II,standalone,0,12.98,Cub,20.115493278392567,6,2.679913926997777,183,author_0717,Zahlen & Operationen - Spiele,"4. Klasse, 5. Klasse, 6. Klasse"
mat_000996,Englisch,Leseverstehen,['9. Klasse'],Interaktives Material,Sek II,standalone,1,4.722904651419235,Cub,28.673580532261965,24,3.3611789223220967,534,author_0698,Leseverstehen - Sparpaket,9. Klasse
mat_000997,Fachunterricht,Chemie,"['9. Klasse', '10. Klasse', '11. Klasse']",Präsentationen/Tafelbilder,Kita / Vorschule,hybrid,0,1.91,Innovators,20.25114205103411,11,2.893170199764001,959,author_0334,Chemie - Präsentationen/Tafelbilder,"9. Klasse, 10. Klasse, 11. Klasse"
mat_000998,Kunst,Basteln,"['4. Klasse', '5. Klasse', '6. Klasse']",Videos,Sek I Mittlere Schulform,standalone,0,1.66,Bear,67.59487294604779,8,2.278390449847917,1094,author_0811,Basteln - Videos,"4. Klasse, 5. Klasse, 6. Klasse"
mat_000999,Englisch,Grammatik,"['3. Klasse', '4. Klasse']",Präsentationen/Tafelbilder,Sek II,interactive,0,7.96,Eggs,37.38297020994522,11,1.8064755386520623,9,author_0909,Grammatik - Präsentationen/Tafelbilder,"3. Klasse, 4. Klasse"
mat_001000,Deutsch,Sprache untersuchen,"['10. Klasse', '11. Klasse']",Quiz,Grundschule,standalone,0,5.48,Cub,59.31073818770558,10,0.6274079684240678,930,author_0675,Sprache untersuchen - Quiz,"10. Klasse, 11. Klasse"
mat_001001,Englisch,Schreiben,['12. Klasse'],Experimente,Berufsschule,interactive,0,6.7,Cub,60.449846487962574,5,6.139124787871608,277,author_0975,Schreiben - Experimente,12. Klasse
mat_001002,Englisch,Wortschatz,"['5. Klasse', '6. Klasse']",Merkblätter,Sek I Mittlere Schulform,standalone,0,1.55,Innovators,94.49030563262073,9,1.9338553693989762,500,author_0982,Wortschatz - Merkblätter,"5. Klasse, 6. Klasse"
mat_001003,Fachunterricht,Erdkunde,"['7. Klasse', '8. Klasse', '9. Klasse']",Präsentationen/Tafelbilder,Sek I Gymnasium,standalone,1,33.70732358268355,Innovators,19.67641876826707,45,2.226757715587093,209,author_0563,Erdkunde - Sparpaket,"7. Klasse, 8. Klasse, 9. Klasse"
mat_001004,Deutsch,Sprache untersuchen,['11. Klasse'],Test,Grundschule,interactive,0,1.03,Eggs,25.731193400547,13,4.819976294655971,623,author_0912,Sprache untersuchen - Test,11. Klasse
mat_001005,Mathematik,Grundrechenarten,"['9. Klasse', '10. Klasse', '11. Klasse']",Merkblätter,Sek II,interactive,0,5.45,Eggs,251.1583540663902,12,3.2120774564484087,779,author_0088,Grundrechenarten - Merkblätter,"9. Klasse, 10. Klasse, 11. Klasse"
mat_001006,Kunst,Basteln,['5. Klasse'],Präsentationen/Tafelbilder,Sek I Gymnasium,standalone,1,29.750150363346012,Innovators,85.11913758413951,50,4.210818961201523,934,author_0306,Basteln - Sparpaket,5. Klasse
mat_001007,Mathematik,Geometrie,['2. Klasse'],Experimente,Grundschule,standalone,0,2.61,Cub,19.818563806187235,6,2.8715147797032587,874,author_0222,Geometrie - Experimente,2. Klasse
mat_001008,Fachunterricht,Geschichte,"['3. Klasse', '4. Klasse']",Arbeitsblätter,Grundschule,interactive,0,3.46,Bear,15.466549096017548,6,0.8807279078653385,139,author_0618,Geschichte - Arbeitsblätter,"3. Klasse, 4. Klasse"
mat_001009,Englisch,Grammatik,"['4. Klasse', '5. Klasse']",Quiz,Sek I Mittlere Schulform,interactive,1,29.74782640319774,Innovators,0.7932580497288375,90,1.8708298293002188,842,author_0629,Grammatik - Sparpaket,"4. Klasse, 5. Klasse"
mat_001010,Englisch,Schreiben,['5. Klasse'],Merkblätter,Berufsschule,hybrid,0,4.89,Eggs,66.85114583723434,9,3.789762874959244,213,author_0517,Schreiben - Merkblätter,5. Klasse
mat_001011,Mathematik,Geometrie,"['11. Klasse', '12. Klasse']",Fördermaterial/Inklusion,Berufsschule,hybrid,0,6.01,Bear,112.89736774750203,10,4.1092578979328955,76,author_0247,Geometrie - Fördermaterial/Inklusion,"11. Klasse, 12. Klasse"
mat_001012,Kunst,Werken,['6. Klasse'],Quiz,Förderunterricht,interactive,1,9.920577924871903,Eggs,4.984894224022317,50,2.7841939931436213,579,author_0191,Werken - Sparpaket,6. Klasse
mat_001013,Kunst,Epochen,"['10. Klasse', '11. Klasse']",Fördermaterial/Inklusion,Förderunterricht,standalone,0,3.21,Cub,3.550412859626515,9,8.501724817599529,657,author_0613,Epochen - Fördermaterial/Inklusion,"10. Klasse, 11. Klasse"
mat_001014,Kunst,Malen & Zeichnen,"['7. Klasse', '8. Klasse']",Mal- und Bastelvorlagen,Sek I Gymnasium,standalone,1,10.556911200653685,Eggs,39.33324450792801,78,3.3745755636538006,774,author_0730,Malen & Zeichnen - Sparpaket,"7. Klasse, 8. Klasse"
mat_001015,Mathematik,Zahlen & Operationen,"['3. Klasse', '4. Klasse', '5. Klasse', '6. Klasse']",Unterrichtsreihen,Kita / Vorschule,standalone,0,9.2,Innovators,30.063279368807915,4,2.2920876434892965,409,author_0828,Zahlen & Operationen - Unterrichtsreihen,"3. Klasse, 4. Klasse, 5. Klasse, 6. Klasse"
mat_001016,Fachunterricht,Biologie,"['1. Klasse', '2. Klasse', '3. Klasse', '4. Klasse']",Spiele,Sek II,interactive,0,3.69,Eggs,4.964988401948474,10,8.43468687811285,225,author_0017,Biologie - Spiele,"1. Klasse, 2. Klasse, 3. Klasse, 4. Klasse"
mat_001017,Mathematik,Grundrechenarten,['7. Klasse'],Stationenlernen,Kita / Vorschule,interactive,0,1.46,Eggs,9.839806343688606,6,6.166719599596496,945,author_0402,Grundrechenarten - Stationenlernen,7. Klasse
mat_001018,Deutsch,Anfangsunterricht,"['11. Klasse', '12. Klasse', '13. Klasse']",Spiele,Berufsschule,hybrid,0,18.03,Eggs,17.16040246234569,9,4.713186618412645,201,author_0396,Anfangsunterricht - Spiele,"11. Klasse, 12. Klasse, 13. Klasse"
mat_001019,Deutsch,Sprache untersuchen,"['7. Klasse', '8. Klasse']",Mal- und Bastelvorlagen,Berufsschule,hybrid,0,11.25,Bear,50.26652932642596,5,3.984456726929533,857,author_0274,Sprache untersuchen - Mal- und Bastelvorlagen,"7. Klasse, 8. Klasse"
mat_001020,Deutsch,Sprache untersuchen,['13. Klasse'],Arbeitsblätter,Berufsschule,hybrid,0,4.34,Eggs,107.35843730906171,7,1.3304098873487609,514,author_0630,Sprache untersuchen - Arbeitsblätter,13. Klasse
mat_001021,Fachunterricht,Geschichte,"['2. Klasse', '3. Klasse', '4. Klasse', '5. Klasse']",Arbeitsblätter,Kita / Vorschule,interactive,0,2.94,Innovators,77.43821015097673,12,7.112942306651866,938,author_0324,Geschichte - Arbeitsblätter,"2. Klasse, 3. Klasse, 4. Klasse, 5. Klasse"
mat_001022,Mathematik,Stochastik,"['5. Klasse', '6. Klasse']",Klassenarbeiten,Grundschule,standalone,0,2.98,Dragon,139.9008177674543,9,3.861952898617167,802,author_0553,Stochastik - Klassenarbeiten,"5. Klasse, 6. Klasse"
mat_001023,Englisch,Wortschatz,['5. Klasse'],Mal- und Bastelvorlagen,Grundschule,hybrid,0,24.34,Cub,17.40548869494506,6,4.8257544667647725,315,author_0285,Wortschatz - Mal- und Bastelvorlagen,5. Klasse
mat_001024,Deutsch,Anfangsunterricht,"['12. Klasse', '13. Klasse']",Unterrichtsreihen,Sek II,standalone,1,11.922272307924125,Bear,190.5904658983668,77,1.9509112514252729,1037,author_0889,Anfangsunterricht - Sparpaket,"12. Klasse, 13. Klasse"
mat_001025,Englisch,Sprechen,"['4. Klasse', '5. Klasse', '6. Klasse']",Fördermaterial/Inklusion,Sek II,hybrid,1,10.771418565787,Cub,10.178599344580103,33,5.846897522944356,173,author_0130,Sprechen - Sparpaket,"4. Klasse, 5. Klasse, 6. Klasse"
mat_001026,Mathematik,Funktionen,"['11. Klasse', '12. Klasse']",Stationenlernen,Sek I Mittlere Schulform,standalone,0,1.58,Cub,142.7563124054825,11,1.8606212525027463,251,author_0085,Funktionen - Stationenlernen,"11. Klasse, 12. Klasse"
mat_001027,Mathematik,Funktionen,"['7. Klasse', '8. Klasse']",Bildkarten,Berufsschule,standalone,0,0.6,Innovators,68.10606704154078,9,4.201974218472694,443,author_0265,Funktionen - Bildkarten,"7. Klasse, 8. Klasse"
mat_001028,Deutsch,Anfangsunterricht,['13. Klasse'],Fördermaterial/Inklusion,Förderunterricht,standalone,0,3.5,Eggs,8.560664647302731,9,5.923343630083845,824,author_0319,Anfangsunterricht - Fördermaterial/Inklusion,13. Klasse
mat_001029,Mathematik,Geometrie,"['6. Klasse', '7. Klasse']",Bildkarten,Grundschule,standalone,0,2.48,Eggs,38.21925157892937,8,1.55755179709853,316,author_0989,Geometrie - Bildkarten,"6. Klasse, 7. Klasse"
